6;12;2020;234;10;Afghanistan;3
5;12;2020;235;18;Afghanistan;3
4;12;2020;119;5;Afghanistan;3
3;12;2020;202;19;Afghanistan;3
2;12;2020;400;48;Afghanistan;3
1;12;2020;272;11;Afghanistan;3
30;11;2020;0;0;Afghanistan;3
29;11;2020;228;11;Afghanistan;3
28;11;2020;214;15;Afghanistan;3
27;11;2020;0;0;Afghanistan;3
26;11;2020;200;12;Afghanistan;3
25;11;2020;185;13;Afghanistan;3
24;11;2020;246;17;Afghanistan;3
23;11;2020;252;8;Afghanistan;3
22;11;2020;154;12;Afghanistan;3
21;11;2020;232;25;Afghanistan;3
20;11;2020;282;5;Afghanistan;3
19;11;2020;0;0;Afghanistan;3
18;11;2020;383;13;Afghanistan;3
17;11;2020;65;6;Afghanistan;3
16;11;2020;163;9;Afghanistan;3
15;11;2020;205;12;Afghanistan;3
14;11;2020;66;10;Afghanistan;3
13;11;2020;360;14;Afghanistan;3
12;11;2020;146;4;Afghanistan;3
11;11;2020;0;0;Afghanistan;3
10;11;2020;224;12;Afghanistan;3
9;11;2020;80;3;Afghanistan;3
8;11;2020;126;6;Afghanistan;3
7;11;2020;58;2;Afghanistan;3
6;11;2020;40;0;Afghanistan;3
5;11;2020;121;6;Afghanistan;3
4;11;2020;86;4;Afghanistan;3
3;11;2020;95;3;Afghanistan;3
2;11;2020;132;5;Afghanistan;3
1;11;2020;76;0;Afghanistan;3
31;10;2020;157;4;Afghanistan;3
30;10;2020;123;3;Afghanistan;3
29;10;2020;0;0;Afghanistan;3
28;10;2020;113;7;Afghanistan;3
27;10;2020;199;8;Afghanistan;3
26;10;2020;65;3;Afghanistan;3
25;10;2020;81;4;Afghanistan;3
24;10;2020;61;2;Afghanistan;3
23;10;2020;116;4;Afghanistan;3
22;10;2020;135;2;Afghanistan;3
21;10;2020;88;2;Afghanistan;3
20;10;2020;87;5;Afghanistan;3
19;10;2020;59;4;Afghanistan;3
18;10;2020;68;3;Afghanistan;3
17;10;2020;47;4;Afghanistan;3
16;10;2020;0;0;Afghanistan;3
15;10;2020;32;1;Afghanistan;3
14;10;2020;66;0;Afghanistan;3
13;10;2020;129;3;Afghanistan;3
12;10;2020;96;4;Afghanistan;3
11;10;2020;0;0;Afghanistan;3
10;10;2020;10;1;Afghanistan;3
9;10;2020;77;2;Afghanistan;3
8;10;2020;68;1;Afghanistan;3
7;10;2020;62;2;Afghanistan;3
6;10;2020;145;5;Afghanistan;3
5;10;2020;44;0;Afghanistan;3
4;10;2020;7;4;Afghanistan;3
3;10;2020;5;0;Afghanistan;3
2;10;2020;17;0;Afghanistan;3
1;10;2020;14;0;Afghanistan;3
30;9;2020;15;2;Afghanistan;3
29;9;2020;12;3;Afghanistan;3
28;9;2020;0;0;Afghanistan;3
27;9;2020;35;0;Afghanistan;3
26;9;2020;6;2;Afghanistan;3
25;9;2020;16;0;Afghanistan;3
24;9;2020;25;5;Afghanistan;3
23;9;2020;71;2;Afghanistan;3
22;9;2020;30;3;Afghanistan;3
21;9;2020;0;0;Afghanistan;3
20;9;2020;125;4;Afghanistan;3
19;9;2020;47;1;Afghanistan;3
18;9;2020;0;0;Afghanistan;3
17;9;2020;17;0;Afghanistan;3
16;9;2020;40;10;Afghanistan;3
15;9;2020;99;6;Afghanistan;3
14;9;2020;75;0;Afghanistan;3
13;9;2020;35;0;Afghanistan;3
12;9;2020;34;0;Afghanistan;3
11;9;2020;28;0;Afghanistan;3
10;9;2020;24;2;Afghanistan;3
9;9;2020;26;3;Afghanistan;3
8;9;2020;96;3;Afghanistan;3
